query
"Are there any homes listed near Golden Gate Park in San Francisco, CA, from January 2023 up until March 2024?"
"I'm looking for properties that have been on the market close to the Empire State Building in New York, NY, anytime between April 2022 and February 2024."
"Can you find listings around the 90210 zip code in Beverly Hills, CA, with availability from June 2021 through March 2024?"
"Show me houses that were available near the Space Needle in Seattle, WA, from September 2022 to December 2023."
"I'm interested in homes close to the Art Institute of Chicago, IL, that were on the market from March 2022 until March 2024."
"Find me properties within walking distance to Harvard University in Cambridge, MA, available from May 2021 through March 2024."
"I'd like to see listings near Pike Place Market in Seattle, WA, that have been on the market anytime from July 2022 to January 2024."
"Can you show me homes that were listed close to the French Quarter in New Orleans, LA, from October 2021 to March 2024?"
"I need to find properties near Walt Disney World in Orlando, FL, that were available from January 2022 to February 2024."
"Are there any homes that were on the market close to the Las Vegas Strip, NV, between February 2023 and March 2024?"
"Show me listings that were available near Fenway Park in Boston, MA, from August 2021 to December 2023."
"I'm looking for homes that have been listed near the University of Texas in Austin, TX, from November 2022 to March 2024."
"Can you find properties near Griffith Observatory in Los Angeles, CA, that were on the market from April 2022 to February 2024?"
"I'd like to see homes that were available near the U.S. Capitol in Washington, D.C., from July 2022 to January 2024."
"Show me properties that were listed close to the St. Louis Arch in MO, from December 2021 to March 2024."
"I'm interested in homes near Central Park in New York, NY, that have been on the market anytime from May 2023 to March 2024."
"Can you find listings near the 33139 zip code in Miami Beach, FL, available from January 2022 through March 2024?"
"I need to see homes that were available near the Alamo in San Antonio, TX, from February 2023 to March 2024."
"Show me properties close to Millennium Park in Chicago, IL, that were listed from October 2022 to February 2024."
"I'm looking for homes near the Liberty Bell in Philadelphia, PA, that have been on the market from June 2022 to March 2024."
"Can you find properties that were available near the Rocky Mountains in Denver, CO, from September 2022 to March 2024?"
"I'd like to see homes near the Georgia Aquarium in Atlanta, GA, that were on the market from March 2023 to March 2024."
"Show me listings close to the University of Washington in Seattle, WA, from July 2021 to December 2023."
"I'm interested in properties near the Getty Center in Los Angeles, CA, that were available from November 2022 to March 2024."
"Can you find homes that have been listed near the Grand Canyon entrance in AZ, from January 2023 to March 2024?"
"Can you find homes listed near the Golden Gate Bridge in San Francisco, CA, with listings from April 2023 to January 2024?"
"I'm looking for properties around Central Park in New York, NY, available from May 2022 to November 2023."
"Show me houses that were on the market close to the MIT campus in Cambridge, MA, from June 2021 to October 2023."
"Are there any listings near Pike Place Market in Seattle, WA, from July 2023 to February 2024?"
"I need homes listed near the Art Institute of Chicago, IL, from August 2022 to December 2023."
"Find properties within walking distance to the University of Texas in Austin, TX, from September 2021 to September 2023."
"I'd like to see homes near the French Quarter in New Orleans, LA, that were on the market from October 2022 to August 2023."
"Can you show me properties that were listed close to the Las Vegas Strip, NV, from November 2021 to July 2023?"
"I'm interested in homes that have been on the market near Walt Disney World in Orlando, FL, from December 2022 to June 2023."
"Show me listings close to the Liberty Bell in Philadelphia, PA, from January 2022 to May 2023."
"Find me homes near the Getty Center in Los Angeles, CA, that were available from February 2023 to April 2023."
"I'm looking for properties near the U.S. Capitol in Washington, D.C., from March 2022 to March 2023."
"Can you find homes listed near the Houston Space Center, TX, from April 2021 to February 2023?"
"Show me houses near the University of Chicago, IL, that were on the market from May 2023 to January 2024."
